issue_id,issue_number,title,state,created,closed,labels,user,assignees,closed_by
1751319469,178,Ai Microsoft ,open,1686471962.0,2023-06-13 22:11:30.090246,[],"{'login': 'suyog56', 'id': 75977740, 'node_id': 'MDQ6VXNlcjc1OTc3NzQw', 'avatar_url': 'https://avatars.githubusercontent.com/u/75977740?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/suyog56', 'html_url': 'https://github.com/suyog56', 'followers_url': 'https://api.github.com/users/suyog56/followers', 'following_url': 'https://api.github.com/users/suyog56/following{/other_user}', 'gists_url': 'https://api.github.com/users/suyog56/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/suyog56/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/suyog56/subscriptions', 'organizations_url': 'https://api.github.com/users/suyog56/orgs', 'repos_url': 'https://api.github.com/users/suyog56/repos', 'events_url': 'https://api.github.com/users/suyog56/events{/privacy}', 'received_events_url': 'https://api.github.com/users/suyog56/received_events', 'type': 'User', 'site_admin': False}",,
1751246424,177,AI,open,1686459830.0,2023-06-13 22:11:30.090246,[],"{'login': 'Yahmadtoro1', 'id': 130649779, 'node_id': 'U_kgDOB8mOsw', 'avatar_url': 'https://avatars.githubusercontent.com/u/130649779?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Yahmadtoro1', 'html_url': 'https://github.com/Yahmadtoro1', 'followers_url': 'https://api.github.com/users/Yahmadtoro1/followers', 'following_url': 'https://api.github.com/users/Yahmadtoro1/following{/other_user}', 'gists_url': 'https://api.github.com/users/Yahmadtoro1/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Yahmadtoro1/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Yahmadtoro1/subscriptions', 'organizations_url': 'https://api.github.com/users/Yahmadtoro1/orgs', 'repos_url': 'https://api.github.com/users/Yahmadtoro1/repos', 'events_url': 'https://api.github.com/users/Yahmadtoro1/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Yahmadtoro1/received_events', 'type': 'User', 'site_admin': False}",,
1751215530,176,https://www.facebook.com/bradley.jennings.56thejoker?mibextid=LQQJ4d,open,1686454161.0,2023-06-13 22:11:30.090246,[],"{'login': 'jokermegood', 'id': 114978558, 'node_id': 'U_kgDOBtpu_g', 'avatar_url': 'https://avatars.githubusercontent.com/u/114978558?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jokermegood', 'html_url': 'https://github.com/jokermegood', 'followers_url': 'https://api.github.com/users/jokermegood/followers', 'following_url': 'https://api.github.com/users/jokermegood/following{/other_user}', 'gists_url': 'https://api.github.com/users/jokermegood/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jokermegood/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jokermegood/subscriptions', 'organizations_url': 'https://api.github.com/users/jokermegood/orgs', 'repos_url': 'https://api.github.com/users/jokermegood/repos', 'events_url': 'https://api.github.com/users/jokermegood/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jokermegood/received_events', 'type': 'User', 'site_admin': False}",,
1750782951,175,Ai,open,1686370086.0,2023-06-13 22:11:30.090246,[],"{'login': 'rokdesachin', 'id': 38802188, 'node_id': 'MDQ6VXNlcjM4ODAyMTg4', 'avatar_url': 'https://avatars.githubusercontent.com/u/38802188?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rokdesachin', 'html_url': 'https://github.com/rokdesachin', 'followers_url': 'https://api.github.com/users/rokdesachin/followers', 'following_url': 'https://api.github.com/users/rokdesachin/following{/other_user}', 'gists_url': 'https://api.github.com/users/rokdesachin/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rokdesachin/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rokdesachin/subscriptions', 'organizations_url': 'https://api.github.com/users/rokdesachin/orgs', 'repos_url': 'https://api.github.com/users/rokdesachin/repos', 'events_url': 'https://api.github.com/users/rokdesachin/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rokdesachin/received_events', 'type': 'User', 'site_admin': False}",,
1748423255,174,Learning ai ,open,1686248219.0,2023-06-13 22:11:30.090246,[],"{'login': 'Achraf0088', 'id': 133068691, 'node_id': 'U_kgDOB-53kw', 'avatar_url': 'https://avatars.githubusercontent.com/u/133068691?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Achraf0088', 'html_url': 'https://github.com/Achraf0088', 'followers_url': 'https://api.github.com/users/Achraf0088/followers', 'following_url': 'https://api.github.com/users/Achraf0088/following{/other_user}', 'gists_url': 'https://api.github.com/users/Achraf0088/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Achraf0088/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Achraf0088/subscriptions', 'organizations_url': 'https://api.github.com/users/Achraf0088/orgs', 'repos_url': 'https://api.github.com/users/Achraf0088/repos', 'events_url': 'https://api.github.com/users/Achraf0088/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Achraf0088/received_events', 'type': 'User', 'site_admin': False}",,
1747840311,172,Ai begins ,open,1686228835.0,2023-06-13 22:11:30.090246,[],"{'login': 'morningsunshine0401', 'id': 109836008, 'node_id': 'U_kgDOBov26A', 'avatar_url': 'https://avatars.githubusercontent.com/u/109836008?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/morningsunshine0401', 'html_url': 'https://github.com/morningsunshine0401', 'followers_url': 'https://api.github.com/users/morningsunshine0401/followers', 'following_url': 'https://api.github.com/users/morningsunshine0401/following{/other_user}', 'gists_url': 'https://api.github.com/users/morningsunshine0401/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/morningsunshine0401/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/morningsunshine0401/subscriptions', 'organizations_url': 'https://api.github.com/users/morningsunshine0401/orgs', 'repos_url': 'https://api.github.com/users/morningsunshine0401/repos', 'events_url': 'https://api.github.com/users/morningsunshine0401/events{/privacy}', 'received_events_url': 'https://api.github.com/users/morningsunshine0401/received_events', 'type': 'User', 'site_admin': False}",,
1747783375,171,Ai for Beginners,open,1686226878.0,2023-06-13 22:11:30.090246,[],"{'login': 'SeekData007', 'id': 135977819, 'node_id': 'U_kgDOCBrbWw', 'avatar_url': 'https://avatars.githubusercontent.com/u/135977819?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/SeekData007', 'html_url': 'https://github.com/SeekData007', 'followers_url': 'https://api.github.com/users/SeekData007/followers', 'following_url': 'https://api.github.com/users/SeekData007/following{/other_user}', 'gists_url': 'https://api.github.com/users/SeekData007/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/SeekData007/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/SeekData007/subscriptions', 'organizations_url': 'https://api.github.com/users/SeekData007/orgs', 'repos_url': 'https://api.github.com/users/SeekData007/repos', 'events_url': 'https://api.github.com/users/SeekData007/events{/privacy}', 'received_events_url': 'https://api.github.com/users/SeekData007/received_events', 'type': 'User', 'site_admin': False}",,
1731157143,169,Artificial intelligence,closed,1685388112.0,1685696198.0,[],"{'login': 'cocojuana', 'id': 133243102, 'node_id': 'U_kgDOB_Eg3g', 'avatar_url': 'https://avatars.githubusercontent.com/u/133243102?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/cocojuana', 'html_url': 'https://github.com/cocojuana', 'followers_url': 'https://api.github.com/users/cocojuana/followers', 'following_url': 'https://api.github.com/users/cocojuana/following{/other_user}', 'gists_url': 'https://api.github.com/users/cocojuana/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/cocojuana/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/cocojuana/subscriptions', 'organizations_url': 'https://api.github.com/users/cocojuana/orgs', 'repos_url': 'https://api.github.com/users/cocojuana/repos', 'events_url': 'https://api.github.com/users/cocojuana/events{/privacy}', 'received_events_url': 'https://api.github.com/users/cocojuana/received_events', 'type': 'User', 'site_admin': False}",,BethanyJep
1701532996,168,Using device-agnostic code in PyTorch,open,1683618147.0,2023-06-13 22:11:30.395140,[],"{'login': 'mohamedalishiha', 'id': 78316497, 'node_id': 'MDQ6VXNlcjc4MzE2NDk3', 'avatar_url': 'https://avatars.githubusercontent.com/u/78316497?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/mohamedalishiha', 'html_url': 'https://github.com/mohamedalishiha', 'followers_url': 'https://api.github.com/users/mohamedalishiha/followers', 'following_url': 'https://api.github.com/users/mohamedalishiha/following{/other_user}', 'gists_url': 'https://api.github.com/users/mohamedalishiha/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/mohamedalishiha/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/mohamedalishiha/subscriptions', 'organizations_url': 'https://api.github.com/users/mohamedalishiha/orgs', 'repos_url': 'https://api.github.com/users/mohamedalishiha/repos', 'events_url': 'https://api.github.com/users/mohamedalishiha/events{/privacy}', 'received_events_url': 'https://api.github.com/users/mohamedalishiha/received_events', 'type': 'User', 'site_admin': False}",,
1536397341,161,AI,closed,1673962748.0,1673962767.0,[],"{'login': 'Mus7286', 'id': 122805597, 'node_id': 'U_kgDOB1HdXQ', 'avatar_url': 'https://avatars.githubusercontent.com/u/122805597?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Mus7286', 'html_url': 'https://github.com/Mus7286', 'followers_url': 'https://api.github.com/users/Mus7286/followers', 'following_url': 'https://api.github.com/users/Mus7286/following{/other_user}', 'gists_url': 'https://api.github.com/users/Mus7286/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Mus7286/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Mus7286/subscriptions', 'organizations_url': 'https://api.github.com/users/Mus7286/orgs', 'repos_url': 'https://api.github.com/users/Mus7286/repos', 'events_url': 'https://api.github.com/users/Mus7286/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Mus7286/received_events', 'type': 'User', 'site_admin': False}",,Mus7286
1536252394,160,Ai B,closed,1673956361.0,1673977348.0,[],"{'login': 'FatyMaster', 'id': 122818467, 'node_id': 'U_kgDOB1IPow', 'avatar_url': 'https://avatars.githubusercontent.com/u/122818467?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/FatyMaster', 'html_url': 'https://github.com/FatyMaster', 'followers_url': 'https://api.github.com/users/FatyMaster/followers', 'following_url': 'https://api.github.com/users/FatyMaster/following{/other_user}', 'gists_url': 'https://api.github.com/users/FatyMaster/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/FatyMaster/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/FatyMaster/subscriptions', 'organizations_url': 'https://api.github.com/users/FatyMaster/orgs', 'repos_url': 'https://api.github.com/users/FatyMaster/repos', 'events_url': 'https://api.github.com/users/FatyMaster/events{/privacy}', 'received_events_url': 'https://api.github.com/users/FatyMaster/received_events', 'type': 'User', 'site_admin': False}",,carlotta94c
